id,nom_grossiste,description,categorie,logo_url,banner_url,adresse,email,telephone,site_web
11,Diamond Apparel,"Une large gamme de chaussures confortables et stylées pour hommes, femmes et enfants.",bijoux,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone B, Local 441",contact@diamondapparel.com,+33 1 50 97 27 85,https://www.diamondapparel.com
12,Trend Loft,Votre destination pour les accessoires de mode uniques et originaux. Qualité et style garantis.,vetements,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone B, Local 364",contact@trendloft.com,+33 1 30 70 71 30,https://www.trendloft.com
13,Style House,Accessoires de mode urbaine et streetwear pour une clientèle jeune et dynamique.,vetements,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone C, Local 140",contact@stylehouse.com,+33 1 78 42 20 11,https://www.stylehouse.com
14,Elite Trends,"Collections enfantines colorées et confortables, conçues pour durer.",chaussures,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone A, Local 996",contact@elitetrends.com,+33 1 39 25 66 78,https://www.elitetrends.com
15,Trend Avenue,"Maroquinerie de luxe abordable. Sacs à main, portefeuilles et bagagerie de qualité.",accessoires,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone A, Local 601",contact@trendavenue.com,+33 1 56 93 53 84,https://www.trendavenue.com
16,Atelier Space,"Une large gamme de chaussures confortables et stylées pour hommes, femmes et enfants.",accessoires,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone B, Local 301",contact@atelierspace.com,+33 1 31 16 81 53,https://www.atelierspace.com
17,Glamour Couture,Grossiste spécialisé dans les tenues de soirée et robes de cocktail.,accessoires,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone A, Local 708",contact@glamourcouture.com,+33 1 39 27 13 67,https://www.glamourcouture.com
18,Atelier Loft,"Maroquinerie de luxe abordable. Sacs à main, portefeuilles et bagagerie de qualité.",bijoux,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone A, Local 445",contact@atelierloft.com,+33 1 10 15 43 74,https://www.atelierloft.com
19,Maison Style,Grossiste spécialisé dans les tenues de soirée et robes de cocktail.,accessoires,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone B, Local 775",contact@maisonstyle.com,+33 1 49 51 41 14,https://www.maisonstyle.com
20,Boutique Loft,Grossiste spécialisé dans les tenues de soirée et robes de cocktail.,accessoires,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone A, Local 182",contact@boutiqueloft.com,+33 1 33 46 58 10,https://www.boutiqueloft.com
