id,nom_grossiste,description,categorie,logo_url,banner_url,adresse,email,telephone,site_web
21,Mode Couture,Votre destination pour les accessoires de mode uniques et originaux. Qualité et style garantis.,chaussures,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone B, Local 139",contact@modecouture.com,+33 1 42 72 68 88,https://www.modecouture.com
22,Chic Garden,"Maroquinerie de luxe abordable. Sacs à main, portefeuilles et bagagerie de qualité.",sacs,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone C, Local 328",contact@chicgarden.com,+33 1 45 19 12 36,https://www.chicgarden.com
23,Atelier Mode,Votre destination pour les accessoires de mode uniques et originaux. Qualité et style garantis.,vetements,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone B, Local 292",contact@ateliermode.com,+33 1 28 49 56 62,https://www.ateliermode.com
24,Mode Collection,"Spécialiste du prêt-à-porter féminin, proposant des collections tendances et élégantes pour toutes les saisons.",chaussures,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone B, Local 700",contact@modecollection.com,+33 1 82 94 43 73,https://www.modecollection.com
25,Atelier Couture,Votre destination pour les accessoires de mode uniques et originaux. Qualité et style garantis.,accessoires,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone B, Local 598",contact@ateliercouture.com,+33 1 66 56 43 17,https://www.ateliercouture.com
26,Royal Avenue,Accessoires de mode urbaine et streetwear pour une clientèle jeune et dynamique.,accessoires,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone C, Local 686",contact@royalavenue.com,+33 1 18 45 17 95,https://www.royalavenue.com
27,Boutique House,Accessoires de mode urbaine et streetwear pour une clientèle jeune et dynamique.,sacs,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone B, Local 240",contact@boutiquehouse.com,+33 1 25 52 99 12,https://www.boutiquehouse.com
28,Studio Concept,"Maroquinerie de luxe abordable. Sacs à main, portefeuilles et bagagerie de qualité.",vetements,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone B, Local 729",contact@studioconcept.com,+33 1 78 39 68 44,https://www.studioconcept.com
29,Maison Street,Votre destination pour les accessoires de mode uniques et originaux. Qualité et style garantis.,bijoux,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone A, Local 510",contact@maisonstreet.com,+33 1 39 16 27 47,https://www.maisonstreet.com
30,Royal Vogue,Accessoires de mode urbaine et streetwear pour une clientèle jeune et dynamique.,bijoux,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone A, Local 709",contact@royalvogue.com,+33 1 10 63 55 21,https://www.royalvogue.com
