id,nom_grossiste,description,categorie,logo_url,banner_url,adresse,email,telephone,site_web
1,Chic Design,"Expert en mode masculine, offrant des costumes, chemises et tenues décontractées.",bijoux,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone B, Local 667",contact@chicdesign.com,+33 1 68 25 32 10,https://www.chicdesign.com
2,Fashion Lane,"Collections enfantines colorées et confortables, conçues pour durer.",sacs,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone C, Local 371",contact@fashionlane.com,+33 1 73 83 64 80,https://www.fashionlane.com
3,Silver Avenue,Le meilleur de la mode italienne importée directement de Milan.,chaussures,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone C, Local 760",contact@silveravenue.com,+33 1 60 93 38 29,https://www.silveravenue.com
4,Royal Gallery,"Expert en mode masculine, offrant des costumes, chemises et tenues décontractées.",bijoux,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone B, Local 880",contact@royalgallery.com,+33 1 59 74 48 11,https://www.royalgallery.com
5,Atelier Wear,"Maroquinerie de luxe abordable. Sacs à main, portefeuilles et bagagerie de qualité.",vetements,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone A, Local 433",contact@atelierwear.com,+33 1 90 77 11 50,https://www.atelierwear.com
6,Vogue Loft,"Maroquinerie de luxe abordable. Sacs à main, portefeuilles et bagagerie de qualité.",accessoires,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone C, Local 246",contact@vogueloft.com,+33 1 77 63 68 25,https://www.vogueloft.com
7,Silver Wear,"Expert en mode masculine, offrant des costumes, chemises et tenues décontractées.",chaussures,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone C, Local 400",contact@silverwear.com,+33 1 88 46 25 10,https://www.silverwear.com
8,Atelier House,Votre destination pour les accessoires de mode uniques et originaux. Qualité et style garantis.,bijoux,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone B, Local 194",contact@atelierhouse.com,+33 1 90 28 93 39,https://www.atelierhouse.com
9,Atelier Vogue,Accessoires de mode urbaine et streetwear pour une clientèle jeune et dynamique.,chaussures,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone C, Local 480",contact@ateliervogue.com,+33 1 28 55 63 51,https://www.ateliervogue.com
10,Studio Apparel,"Créateur de bijoux fantaisie haut de gamme, alliant tradition et modernité.",chaussures,https://via.placeholder.com/150,https://via.placeholder.com/800x400,"Zone C, Local 935",contact@studioapparel.com,+33 1 27 20 29 11,https://www.studioapparel.com
